ï»¿Domain,Pattern,Number,Letter,Significance
0b.com,Chinese Premium NL,0,B,Pure CHIP NL
0c.com,Chinese Premium NL,0,C,Pure CHIP NL
0d.com,Chinese Premium NL,0,D,Pure CHIP NL
0f.com,Chinese Premium NL,0,F,Pure CHIP NL
0g.com,Chinese Premium NL,0,G,Pure CHIP NL
0h.com,Chinese Premium NL,0,H,Pure CHIP NL
0j.com,Chinese Premium NL,0,J,Pure CHIP NL
0k.com,Chinese Premium NL,0,K,Pure CHIP NL
0l.com,Chinese Premium NL,0,L,Pure CHIP NL
0m.com,Chinese Premium NL,0,M,Pure CHIP NL
0n.com,Chinese Premium NL,0,N,Pure CHIP NL
0p.com,Chinese Premium NL,0,P,Pure CHIP NL
0q.com,Chinese Premium NL,0,Q,Pure CHIP NL
0r.com,Chinese Premium NL,0,R,Pure CHIP NL
0s.com,Chinese Premium NL,0,S,Pure CHIP NL
0t.com,Chinese Premium NL,0,T,Pure CHIP NL
0w.com,Chinese Premium NL,0,W,Pure CHIP NL
0x.com,Chinese Premium NL,0,X,Pure CHIP NL
0y.com,Chinese Premium NL,0,Y,Pure CHIP NL
0z.com,Chinese Premium NL,0,Z,Pure CHIP NL
1b.com,Chinese Premium NL,1,B,Pure CHIP NL
1c.com,Chinese Premium NL,1,C,Pure CHIP NL
1d.com,Chinese Premium NL,1,D,Pure CHIP NL
1f.com,Chinese Premium NL,1,F,Pure CHIP NL
1g.com,Chinese Premium NL,1,G,Pure CHIP NL
1h.com,Chinese Premium NL,1,H,Pure CHIP NL
1j.com,Chinese Premium NL,1,J,Pure CHIP NL
1k.com,Chinese Premium NL,1,K,Pure CHIP NL
1l.com,Chinese Premium NL,1,L,Pure CHIP NL
1m.com,Chinese Premium NL,1,M,Pure CHIP NL
1n.com,Chinese Premium NL,1,N,Pure CHIP NL
1p.com,Chinese Premium NL,1,P,Pure CHIP NL
1q.com,Chinese Premium NL,1,Q,Pure CHIP NL
1r.com,Chinese Premium NL,1,R,Pure CHIP NL
1s.com,Chinese Premium NL,1,S,Pure CHIP NL
1t.com,Chinese Premium NL,1,T,Pure CHIP NL
1w.com,Chinese Premium NL,1,W,Pure CHIP NL
1x.com,Chinese Premium NL,1,X,Pure CHIP NL
1y.com,Chinese Premium NL,1,Y,Pure CHIP NL
1z.com,Chinese Premium NL,1,Z,Pure CHIP NL
2b.com,Chinese Premium NL,2,B,Pure CHIP NL
2c.com,Chinese Premium NL,2,C,Pure CHIP NL
2d.com,Chinese Premium NL,2,D,Pure CHIP NL
2f.com,Chinese Premium NL,2,F,Pure CHIP NL
2g.com,Chinese Premium NL,2,G,Pure CHIP NL
2h.com,Chinese Premium NL,2,H,Pure CHIP NL
2j.com,Chinese Premium NL,2,J,Pure CHIP NL
2k.com,Chinese Premium NL,2,K,Pure CHIP NL
2l.com,Chinese Premium NL,2,L,Pure CHIP NL
2m.com,Chinese Premium NL,2,M,Pure CHIP NL
2n.com,Chinese Premium NL,2,N,Pure CHIP NL
2p.com,Chinese Premium NL,2,P,Pure CHIP NL
2q.com,Chinese Premium NL,2,Q,Pure CHIP NL
2r.com,Chinese Premium NL,2,R,Pure CHIP NL
2s.com,Chinese Premium NL,2,S,Pure CHIP NL
2t.com,Chinese Premium NL,2,T,Pure CHIP NL
2w.com,Chinese Premium NL,2,W,Pure CHIP NL
2x.com,Chinese Premium NL,2,X,Pure CHIP NL
2y.com,Chinese Premium NL,2,Y,Pure CHIP NL
2z.com,Chinese Premium NL,2,Z,Pure CHIP NL
3b.com,Chinese Premium NL,3,B,Pure CHIP NL
3c.com,Chinese Premium NL,3,C,Pure CHIP NL
3d.com,Chinese Premium NL,3,D,Pure CHIP NL
3f.com,Chinese Premium NL,3,F,Pure CHIP NL
3g.com,Chinese Premium NL,3,G,Pure CHIP NL
3h.com,Chinese Premium NL,3,H,Pure CHIP NL
3j.com,Chinese Premium NL,3,J,Pure CHIP NL
3k.com,Chinese Premium NL,3,K,Pure CHIP NL
3l.com,Chinese Premium NL,3,L,Pure CHIP NL
3m.com,Chinese Premium NL,3,M,Pure CHIP NL
3n.com,Chinese Premium NL,3,N,Pure CHIP NL
3p.com,Chinese Premium NL,3,P,Pure CHIP NL
3q.com,Chinese Premium NL,3,Q,Pure CHIP NL
3r.com,Chinese Premium NL,3,R,Pure CHIP NL
3s.com,Chinese Premium NL,3,S,Pure CHIP NL
3t.com,Chinese Premium NL,3,T,Pure CHIP NL
3w.com,Chinese Premium NL,3,W,Pure CHIP NL
3x.com,Chinese Premium NL,3,X,Pure CHIP NL
3y.com,Chinese Premium NL,3,Y,Pure CHIP NL
3z.com,Chinese Premium NL,3,Z,Pure CHIP NL
5b.com,Chinese Premium NL,5,B,Pure CHIP NL
5c.com,Chinese Premium NL,5,C,Pure CHIP NL
5d.com,Chinese Premium NL,5,D,Pure CHIP NL
5f.com,Chinese Premium NL,5,F,Pure CHIP NL
5g.com,Chinese Premium NL,5,G,Pure CHIP NL
5h.com,Chinese Premium NL,5,H,Pure CHIP NL
5j.com,Chinese Premium NL,5,J,Pure CHIP NL
5k.com,Chinese Premium NL,5,K,Pure CHIP NL
5l.com,Chinese Premium NL,5,L,Pure CHIP NL
5m.com,Chinese Premium NL,5,M,Pure CHIP NL
5n.com,Chinese Premium NL,5,N,Pure CHIP NL
5p.com,Chinese Premium NL,5,P,Pure CHIP NL
5q.com,Chinese Premium NL,5,Q,Pure CHIP NL
5r.com,Chinese Premium NL,5,R,Pure CHIP NL
5s.com,Chinese Premium NL,5,S,Pure CHIP NL
5t.com,Chinese Premium NL,5,T,Pure CHIP NL
5w.com,Chinese Premium NL,5,W,Pure CHIP NL
5x.com,Chinese Premium NL,5,X,Pure CHIP NL
5y.com,Chinese Premium NL,5,Y,Pure CHIP NL
5z.com,Chinese Premium NL,5,Z,Pure CHIP NL
6b.com,Chinese Premium NL,6,B,Ultra-Premium CHIP (Wealth/Success/Longevity)
6c.com,Chinese Premium NL,6,C,Ultra-Premium CHIP (Wealth/Success/Longevity)
6d.com,Chinese Premium NL,6,D,Ultra-Premium CHIP (Wealth/Success/Longevity)
6f.com,Chinese Premium NL,6,F,Ultra-Premium CHIP (Wealth/Success/Longevity)
6g.com,Chinese Premium NL,6,G,Ultra-Premium CHIP (Wealth/Success/Longevity)
6h.com,Chinese Premium NL,6,H,Ultra-Premium CHIP (Wealth/Success/Longevity)
6j.com,Chinese Premium NL,6,J,Ultra-Premium CHIP (Wealth/Success/Longevity)
6k.com,Chinese Premium NL,6,K,Ultra-Premium CHIP (Wealth/Success/Longevity)
6l.com,Chinese Premium NL,6,L,Ultra-Premium CHIP (Wealth/Success/Longevity)
6m.com,Chinese Premium NL,6,M,Ultra-Premium CHIP (Wealth/Success/Longevity)
6n.com,Chinese Premium NL,6,N,Ultra-Premium CHIP (Wealth/Success/Longevity)
6p.com,Chinese Premium NL,6,P,Ultra-Premium CHIP (Wealth/Success/Longevity)
6q.com,Chinese Premium NL,6,Q,Ultra-Premium CHIP (Wealth/Success/Longevity)
6r.com,Chinese Premium NL,6,R,Ultra-Premium CHIP (Wealth/Success/Longevity)
6s.com,Chinese Premium NL,6,S,Ultra-Premium CHIP (Wealth/Success/Longevity)
6t.com,Chinese Premium NL,6,T,Ultra-Premium CHIP (Wealth/Success/Longevity)
6w.com,Chinese Premium NL,6,W,Ultra-Premium CHIP (Wealth/Success/Longevity)
6x.com,Chinese Premium NL,6,X,Ultra-Premium CHIP (Wealth/Success/Longevity)
6y.com,Chinese Premium NL,6,Y,Ultra-Premium CHIP (Wealth/Success/Longevity)
6z.com,Chinese Premium NL,6,Z,Ultra-Premium CHIP (Wealth/Success/Longevity)
7b.com,Chinese Premium NL,7,B,Pure CHIP NL
7c.com,Chinese Premium NL,7,C,Pure CHIP NL
7d.com,Chinese Premium NL,7,D,Pure CHIP NL
7f.com,Chinese Premium NL,7,F,Pure CHIP NL
7g.com,Chinese Premium NL,7,G,Pure CHIP NL
7h.com,Chinese Premium NL,7,H,Pure CHIP NL
7j.com,Chinese Premium NL,7,J,Pure CHIP NL
7k.com,Chinese Premium NL,7,K,Pure CHIP NL
7l.com,Chinese Premium NL,7,L,Pure CHIP NL
7m.com,Chinese Premium NL,7,M,Pure CHIP NL
7n.com,Chinese Premium NL,7,N,Pure CHIP NL
7p.com,Chinese Premium NL,7,P,Pure CHIP NL
7q.com,Chinese Premium NL,7,Q,Pure CHIP NL
7r.com,Chinese Premium NL,7,R,Pure CHIP NL
7s.com,Chinese Premium NL,7,S,Pure CHIP NL
7t.com,Chinese Premium NL,7,T,Pure CHIP NL
7w.com,Chinese Premium NL,7,W,Pure CHIP NL
7x.com,Chinese Premium NL,7,X,Pure CHIP NL
7y.com,Chinese Premium NL,7,Y,Pure CHIP NL
7z.com,Chinese Premium NL,7,Z,Pure CHIP NL
8b.com,Chinese Premium NL,8,B,Ultra-Premium CHIP (Wealth/Success/Longevity)
8c.com,Chinese Premium NL,8,C,Ultra-Premium CHIP (Wealth/Success/Longevity)
8d.com,Chinese Premium NL,8,D,Ultra-Premium CHIP (Wealth/Success/Longevity)
8f.com,Chinese Premium NL,8,F,Ultra-Premium CHIP (Wealth/Success/Longevity)
8g.com,Chinese Premium NL,8,G,Ultra-Premium CHIP (Wealth/Success/Longevity)
8h.com,Chinese Premium NL,8,H,Ultra-Premium CHIP (Wealth/Success/Longevity)
8j.com,Chinese Premium NL,8,J,Ultra-Premium CHIP (Wealth/Success/Longevity)
8k.com,Chinese Premium NL,8,K,Ultra-Premium CHIP (Wealth/Success/Longevity)
8l.com,Chinese Premium NL,8,L,Ultra-Premium CHIP (Wealth/Success/Longevity)
8m.com,Chinese Premium NL,8,M,Ultra-Premium CHIP (Wealth/Success/Longevity)
8n.com,Chinese Premium NL,8,N,Ultra-Premium CHIP (Wealth/Success/Longevity)
8p.com,Chinese Premium NL,8,P,Ultra-Premium CHIP (Wealth/Success/Longevity)
8q.com,Chinese Premium NL,8,Q,Ultra-Premium CHIP (Wealth/Success/Longevity)
8r.com,Chinese Premium NL,8,R,Ultra-Premium CHIP (Wealth/Success/Longevity)
8s.com,Chinese Premium NL,8,S,Ultra-Premium CHIP (Wealth/Success/Longevity)
8t.com,Chinese Premium NL,8,T,Ultra-Premium CHIP (Wealth/Success/Longevity)
8w.com,Chinese Premium NL,8,W,Ultra-Premium CHIP (Wealth/Success/Longevity)
8x.com,Chinese Premium NL,8,X,Ultra-Premium CHIP (Wealth/Success/Longevity)
8y.com,Chinese Premium NL,8,Y,Ultra-Premium CHIP (Wealth/Success/Longevity)
8z.com,Chinese Premium NL,8,Z,Ultra-Premium CHIP (Wealth/Success/Longevity)
9b.com,Chinese Premium NL,9,B,Ultra-Premium CHIP (Wealth/Success/Longevity)
9c.com,Chinese Premium NL,9,C,Ultra-Premium CHIP (Wealth/Success/Longevity)
9d.com,Chinese Premium NL,9,D,Ultra-Premium CHIP (Wealth/Success/Longevity)
9f.com,Chinese Premium NL,9,F,Ultra-Premium CHIP (Wealth/Success/Longevity)
9g.com,Chinese Premium NL,9,G,Ultra-Premium CHIP (Wealth/Success/Longevity)
9h.com,Chinese Premium NL,9,H,Ultra-Premium CHIP (Wealth/Success/Longevity)
9j.com,Chinese Premium NL,9,J,Ultra-Premium CHIP (Wealth/Success/Longevity)
9k.com,Chinese Premium NL,9,K,Ultra-Premium CHIP (Wealth/Success/Longevity)
9l.com,Chinese Premium NL,9,L,Ultra-Premium CHIP (Wealth/Success/Longevity)
9m.com,Chinese Premium NL,9,M,Ultra-Premium CHIP (Wealth/Success/Longevity)
9n.com,Chinese Premium NL,9,N,Ultra-Premium CHIP (Wealth/Success/Longevity)
9p.com,Chinese Premium NL,9,P,Ultra-Premium CHIP (Wealth/Success/Longevity)
9q.com,Chinese Premium NL,9,Q,Ultra-Premium CHIP (Wealth/Success/Longevity)
9r.com,Chinese Premium NL,9,R,Ultra-Premium CHIP (Wealth/Success/Longevity)
9s.com,Chinese Premium NL,9,S,Ultra-Premium CHIP (Wealth/Success/Longevity)
9t.com,Chinese Premium NL,9,T,Ultra-Premium CHIP (Wealth/Success/Longevity)
9w.com,Chinese Premium NL,9,W,Ultra-Premium CHIP (Wealth/Success/Longevity)
9x.com,Chinese Premium NL,9,X,Ultra-Premium CHIP (Wealth/Success/Longevity)
9y.com,Chinese Premium NL,9,Y,Ultra-Premium CHIP (Wealth/Success/Longevity)
9z.com,Chinese Premium NL,9,Z,Ultra-Premium CHIP (Wealth/Success/Longevity)