Ã¯Â»Â¿Domain,Pattern,Digit 1,Digit 2,Digit 3,Significance
000.com,AAA (Solid/Legendary),0,0,0,Pure CHIP (No 4)
001.com,AAB,0,0,1,Pure CHIP (No 4)
002.com,AAB,0,0,2,Pure CHIP (No 4)
003.com,AAB,0,0,3,Pure CHIP (No 4)
005.com,AAB,0,0,5,Pure CHIP (No 4)
006.com,AAB,0,0,6,High-Tier CHIP
007.com,AAB,0,0,7,Pure CHIP (No 4)
008.com,AAB,0,0,8,High-Tier CHIP
009.com,AAB,0,0,9,Pure CHIP (No 4)
010.com,ABA,0,1,0,Pure CHIP (No 4)
011.com,ABB,0,1,1,Pure CHIP (No 4)
012.com,ABC,0,1,2,Pure CHIP (No 4)
013.com,ABC,0,1,3,Pure CHIP (No 4)
015.com,ABC,0,1,5,Pure CHIP (No 4)
016.com,ABC,0,1,6,High-Tier CHIP
017.com,ABC,0,1,7,Pure CHIP (No 4)
018.com,ABC,0,1,8,High-Tier CHIP
019.com,ABC,0,1,9,Pure CHIP (No 4)
020.com,ABA,0,2,0,Pure CHIP (No 4)
021.com,ABC,0,2,1,Pure CHIP (No 4)
022.com,ABB,0,2,2,Pure CHIP (No 4)
023.com,ABC,0,2,3,Pure CHIP (No 4)
025.com,ABC,0,2,5,Pure CHIP (No 4)
026.com,ABC,0,2,6,High-Tier CHIP
027.com,ABC,0,2,7,Pure CHIP (No 4)
028.com,ABC,0,2,8,High-Tier CHIP
029.com,ABC,0,2,9,Pure CHIP (No 4)
030.com,ABA,0,3,0,Pure CHIP (No 4)
031.com,ABC,0,3,1,Pure CHIP (No 4)
032.com,ABC,0,3,2,Pure CHIP (No 4)
033.com,ABB,0,3,3,Pure CHIP (No 4)
035.com,ABC,0,3,5,Pure CHIP (No 4)
036.com,ABC,0,3,6,High-Tier CHIP
037.com,ABC,0,3,7,Pure CHIP (No 4)
038.com,ABC,0,3,8,High-Tier CHIP
039.com,ABC,0,3,9,Pure CHIP (No 4)
050.com,ABA,0,5,0,Pure CHIP (No 4)
051.com,ABC,0,5,1,Pure CHIP (No 4)
052.com,ABC,0,5,2,Pure CHIP (No 4)
053.com,ABC,0,5,3,Pure CHIP (No 4)
055.com,ABB,0,5,5,Pure CHIP (No 4)
056.com,ABC,0,5,6,High-Tier CHIP
057.com,ABC,0,5,7,Pure CHIP (No 4)
058.com,ABC,0,5,8,High-Tier CHIP
059.com,ABC,0,5,9,Pure CHIP (No 4)
060.com,ABA,0,6,0,High-Tier CHIP
061.com,ABC,0,6,1,High-Tier CHIP
062.com,ABC,0,6,2,High-Tier CHIP
063.com,ABC,0,6,3,High-Tier CHIP
065.com,ABC,0,6,5,High-Tier CHIP
066.com,ABB,0,6,6,High-Tier CHIP
067.com,ABC,0,6,7,High-Tier CHIP
068.com,ABC,0,6,8,High-Tier CHIP
069.com,ABC,0,6,9,High-Tier CHIP
070.com,ABA,0,7,0,Pure CHIP (No 4)
071.com,ABC,0,7,1,Pure CHIP (No 4)
072.com,ABC,0,7,2,Pure CHIP (No 4)
073.com,ABC,0,7,3,Pure CHIP (No 4)
075.com,ABC,0,7,5,Pure CHIP (No 4)
076.com,ABC,0,7,6,High-Tier CHIP
077.com,ABB,0,7,7,Pure CHIP (No 4)
078.com,ABC,0,7,8,High-Tier CHIP
079.com,ABC,0,7,9,Pure CHIP (No 4)
080.com,ABA,0,8,0,High-Tier CHIP
081.com,ABC,0,8,1,High-Tier CHIP
082.com,ABC,0,8,2,High-Tier CHIP
083.com,ABC,0,8,3,High-Tier CHIP
085.com,ABC,0,8,5,High-Tier CHIP
086.com,ABC,0,8,6,High-Tier CHIP
087.com,ABC,0,8,7,High-Tier CHIP
088.com,ABB,0,8,8,High-Tier CHIP
089.com,ABC,0,8,9,High-Tier CHIP
090.com,ABA,0,9,0,Pure CHIP (No 4)
091.com,ABC,0,9,1,Pure CHIP (No 4)
092.com,ABC,0,9,2,Pure CHIP (No 4)
093.com,ABC,0,9,3,Pure CHIP (No 4)
095.com,ABC,0,9,5,Pure CHIP (No 4)
096.com,ABC,0,9,6,High-Tier CHIP
097.com,ABC,0,9,7,Pure CHIP (No 4)
098.com,ABC,0,9,8,High-Tier CHIP
099.com,ABB,0,9,9,Pure CHIP (No 4)
100.com,ABB,1,0,0,Pure CHIP (No 4)
101.com,ABA,1,0,1,Pure CHIP (No 4)
102.com,ABC,1,0,2,Pure CHIP (No 4)
103.com,ABC,1,0,3,Pure CHIP (No 4)
105.com,ABC,1,0,5,Pure CHIP (No 4)
106.com,ABC,1,0,6,High-Tier CHIP
107.com,ABC,1,0,7,Pure CHIP (No 4)
108.com,ABC,1,0,8,High-Tier CHIP
109.com,ABC,1,0,9,Pure CHIP (No 4)
110.com,AAB,1,1,0,Pure CHIP (No 4)
111.com,AAA (Solid/Legendary),1,1,1,Pure CHIP (No 4)
112.com,AAB,1,1,2,Pure CHIP (No 4)
113.com,AAB,1,1,3,Pure CHIP (No 4)
115.com,AAB,1,1,5,Pure CHIP (No 4)
116.com,AAB,1,1,6,High-Tier CHIP
117.com,AAB,1,1,7,Pure CHIP (No 4)
118.com,AAB,1,1,8,High-Tier CHIP
119.com,AAB,1,1,9,Pure CHIP (No 4)
120.com,ABC,1,2,0,Pure CHIP (No 4)
121.com,ABA,1,2,1,Pure CHIP (No 4)
122.com,ABB,1,2,2,Pure CHIP (No 4)
123.com,ABC,1,2,3,Pure CHIP (No 4)
125.com,ABC,1,2,5,Pure CHIP (No 4)
126.com,ABC,1,2,6,High-Tier CHIP
127.com,ABC,1,2,7,Pure CHIP (No 4)
128.com,ABC,1,2,8,High-Tier CHIP
129.com,ABC,1,2,9,Pure CHIP (No 4)
130.com,ABC,1,3,0,Pure CHIP (No 4)
131.com,ABA,1,3,1,Pure CHIP (No 4)
132.com,ABC,1,3,2,Pure CHIP (No 4)
133.com,ABB,1,3,3,Pure CHIP (No 4)
135.com,ABC,1,3,5,Pure CHIP (No 4)
136.com,ABC,1,3,6,High-Tier CHIP
137.com,ABC,1,3,7,Pure CHIP (No 4)
138.com,ABC,1,3,8,High-Tier CHIP
139.com,ABC,1,3,9,Pure CHIP (No 4)
150.com,ABC,1,5,0,Pure CHIP (No 4)
151.com,ABA,1,5,1,Pure CHIP (No 4)
152.com,ABC,1,5,2,Pure CHIP (No 4)
153.com,ABC,1,5,3,Pure CHIP (No 4)
155.com,ABB,1,5,5,Pure CHIP (No 4)
156.com,ABC,1,5,6,High-Tier CHIP
157.com,ABC,1,5,7,Pure CHIP (No 4)
158.com,ABC,1,5,8,High-Tier CHIP
159.com,ABC,1,5,9,Pure CHIP (No 4)
160.com,ABC,1,6,0,High-Tier CHIP
161.com,ABA,1,6,1,High-Tier CHIP
162.com,ABC,1,6,2,High-Tier CHIP
163.com,ABC,1,6,3,High-Tier CHIP
165.com,ABC,1,6,5,High-Tier CHIP
166.com,ABB,1,6,6,High-Tier CHIP
167.com,ABC,1,6,7,High-Tier CHIP
168.com,ABC,1,6,8,High-Tier CHIP
169.com,ABC,1,6,9,High-Tier CHIP
170.com,ABC,1,7,0,Pure CHIP (No 4)
171.com,ABA,1,7,1,Pure CHIP (No 4)
172.com,ABC,1,7,2,Pure CHIP (No 4)
173.com,ABC,1,7,3,Pure CHIP (No 4)
175.com,ABC,1,7,5,Pure CHIP (No 4)
176.com,ABC,1,7,6,High-Tier CHIP
177.com,ABB,1,7,7,Pure CHIP (No 4)
178.com,ABC,1,7,8,High-Tier CHIP
179.com,ABC,1,7,9,Pure CHIP (No 4)
180.com,ABC,1,8,0,High-Tier CHIP
181.com,ABA,1,8,1,High-Tier CHIP
182.com,ABC,1,8,2,High-Tier CHIP
183.com,ABC,1,8,3,High-Tier CHIP
185.com,ABC,1,8,5,High-Tier CHIP
186.com,ABC,1,8,6,High-Tier CHIP
187.com,ABC,1,8,7,High-Tier CHIP
188.com,ABB,1,8,8,High-Tier CHIP
189.com,ABC,1,8,9,High-Tier CHIP
190.com,ABC,1,9,0,Pure CHIP (No 4)
191.com,ABA,1,9,1,Pure CHIP (No 4)
192.com,ABC,1,9,2,Pure CHIP (No 4)
193.com,ABC,1,9,3,Pure CHIP (No 4)
195.com,ABC,1,9,5,Pure CHIP (No 4)
196.com,ABC,1,9,6,High-Tier CHIP
197.com,ABC,1,9,7,Pure CHIP (No 4)
198.com,ABC,1,9,8,High-Tier CHIP
199.com,ABB,1,9,9,Pure CHIP (No 4)
200.com,ABB,2,0,0,Pure CHIP (No 4)
201.com,ABC,2,0,1,Pure CHIP (No 4)
202.com,ABA,2,0,2,Pure CHIP (No 4)
203.com,ABC,2,0,3,Pure CHIP (No 4)
205.com,ABC,2,0,5,Pure CHIP (No 4)
206.com,ABC,2,0,6,High-Tier CHIP
207.com,ABC,2,0,7,Pure CHIP (No 4)
208.com,ABC,2,0,8,High-Tier CHIP
209.com,ABC,2,0,9,Pure CHIP (No 4)
210.com,ABC,2,1,0,Pure CHIP (No 4)
211.com,ABB,2,1,1,Pure CHIP (No 4)
212.com,ABA,2,1,2,Pure CHIP (No 4)
213.com,ABC,2,1,3,Pure CHIP (No 4)
215.com,ABC,2,1,5,Pure CHIP (No 4)
216.com,ABC,2,1,6,High-Tier CHIP
217.com,ABC,2,1,7,Pure CHIP (No 4)
218.com,ABC,2,1,8,High-Tier CHIP
219.com,ABC,2,1,9,Pure CHIP (No 4)
220.com,AAB,2,2,0,Pure CHIP (No 4)
221.com,AAB,2,2,1,Pure CHIP (No 4)
222.com,AAA (Solid/Legendary),2,2,2,Pure CHIP (No 4)
223.com,AAB,2,2,3,Pure CHIP (No 4)
225.com,AAB,2,2,5,Pure CHIP (No 4)
226.com,AAB,2,2,6,High-Tier CHIP
227.com,AAB,2,2,7,Pure CHIP (No 4)
228.com,AAB,2,2,8,High-Tier CHIP
229.com,AAB,2,2,9,Pure CHIP (No 4)
230.com,ABC,2,3,0,Pure CHIP (No 4)
231.com,ABC,2,3,1,Pure CHIP (No 4)
232.com,ABA,2,3,2,Pure CHIP (No 4)
233.com,ABB,2,3,3,Pure CHIP (No 4)
235.com,ABC,2,3,5,Pure CHIP (No 4)
236.com,ABC,2,3,6,High-Tier CHIP
237.com,ABC,2,3,7,Pure CHIP (No 4)
238.com,ABC,2,3,8,High-Tier CHIP
239.com,ABC,2,3,9,Pure CHIP (No 4)
250.com,ABC,2,5,0,Pure CHIP (No 4)
251.com,ABC,2,5,1,Pure CHIP (No 4)
252.com,ABA,2,5,2,Pure CHIP (No 4)
253.com,ABC,2,5,3,Pure CHIP (No 4)
255.com,ABB,2,5,5,Pure CHIP (No 4)
256.com,ABC,2,5,6,High-Tier CHIP
257.com,ABC,2,5,7,Pure CHIP (No 4)
258.com,ABC,2,5,8,High-Tier CHIP
259.com,ABC,2,5,9,Pure CHIP (No 4)
260.com,ABC,2,6,0,High-Tier CHIP
261.com,ABC,2,6,1,High-Tier CHIP
262.com,ABA,2,6,2,High-Tier CHIP
263.com,ABC,2,6,3,High-Tier CHIP
265.com,ABC,2,6,5,High-Tier CHIP
266.com,ABB,2,6,6,High-Tier CHIP
267.com,ABC,2,6,7,High-Tier CHIP
268.com,ABC,2,6,8,High-Tier CHIP
269.com,ABC,2,6,9,High-Tier CHIP
270.com,ABC,2,7,0,Pure CHIP (No 4)
271.com,ABC,2,7,1,Pure CHIP (No 4)
272.com,ABA,2,7,2,Pure CHIP (No 4)
273.com,ABC,2,7,3,Pure CHIP (No 4)
275.com,ABC,2,7,5,Pure CHIP (No 4)
276.com,ABC,2,7,6,High-Tier CHIP
277.com,ABB,2,7,7,Pure CHIP (No 4)
278.com,ABC,2,7,8,High-Tier CHIP
279.com,ABC,2,7,9,Pure CHIP (No 4)
280.com,ABC,2,8,0,High-Tier CHIP
281.com,ABC,2,8,1,High-Tier CHIP
282.com,ABA,2,8,2,High-Tier CHIP
283.com,ABC,2,8,3,High-Tier CHIP
285.com,ABC,2,8,5,High-Tier CHIP
286.com,ABC,2,8,6,High-Tier CHIP
287.com,ABC,2,8,7,High-Tier CHIP
288.com,ABB,2,8,8,High-Tier CHIP
289.com,ABC,2,8,9,High-Tier CHIP
290.com,ABC,2,9,0,Pure CHIP (No 4)
291.com,ABC,2,9,1,Pure CHIP (No 4)
292.com,ABA,2,9,2,Pure CHIP (No 4)
293.com,ABC,2,9,3,Pure CHIP (No 4)
295.com,ABC,2,9,5,Pure CHIP (No 4)
296.com,ABC,2,9,6,High-Tier CHIP
297.com,ABC,2,9,7,Pure CHIP (No 4)
298.com,ABC,2,9,8,High-Tier CHIP
299.com,ABB,2,9,9,Pure CHIP (No 4)
300.com,ABB,3,0,0,Pure CHIP (No 4)
301.com,ABC,3,0,1,Pure CHIP (No 4)
302.com,ABC,3,0,2,Pure CHIP (No 4)
303.com,ABA,3,0,3,Pure CHIP (No 4)
305.com,ABC,3,0,5,Pure CHIP (No 4)
306.com,ABC,3,0,6,High-Tier CHIP
307.com,ABC,3,0,7,Pure CHIP (No 4)
308.com,ABC,3,0,8,High-Tier CHIP
309.com,ABC,3,0,9,Pure CHIP (No 4)
310.com,ABC,3,1,0,Pure CHIP (No 4)
311.com,ABB,3,1,1,Pure CHIP (No 4)
312.com,ABC,3,1,2,Pure CHIP (No 4)
313.com,ABA,3,1,3,Pure CHIP (No 4)
315.com,ABC,3,1,5,Pure CHIP (No 4)
316.com,ABC,3,1,6,High-Tier CHIP
317.com,ABC,3,1,7,Pure CHIP (No 4)
318.com,ABC,3,1,8,High-Tier CHIP
319.com,ABC,3,1,9,Pure CHIP (No 4)
320.com,ABC,3,2,0,Pure CHIP (No 4)
321.com,ABC,3,2,1,Pure CHIP (No 4)
322.com,ABB,3,2,2,Pure CHIP (No 4)
323.com,ABA,3,2,3,Pure CHIP (No 4)
325.com,ABC,3,2,5,Pure CHIP (No 4)
326.com,ABC,3,2,6,High-Tier CHIP
327.com,ABC,3,2,7,Pure CHIP (No 4)
328.com,ABC,3,2,8,High-Tier CHIP
329.com,ABC,3,2,9,Pure CHIP (No 4)
330.com,AAB,3,3,0,Pure CHIP (No 4)
331.com,AAB,3,3,1,Pure CHIP (No 4)
332.com,AAB,3,3,2,Pure CHIP (No 4)
333.com,AAA (Solid/Legendary),3,3,3,Pure CHIP (No 4)
335.com,AAB,3,3,5,Pure CHIP (No 4)
336.com,AAB,3,3,6,High-Tier CHIP
337.com,AAB,3,3,7,Pure CHIP (No 4)
338.com,AAB,3,3,8,High-Tier CHIP
339.com,AAB,3,3,9,Pure CHIP (No 4)
350.com,ABC,3,5,0,Pure CHIP (No 4)
351.com,ABC,3,5,1,Pure CHIP (No 4)
352.com,ABC,3,5,2,Pure CHIP (No 4)
353.com,ABA,3,5,3,Pure CHIP (No 4)
355.com,ABB,3,5,5,Pure CHIP (No 4)
356.com,ABC,3,5,6,High-Tier CHIP
357.com,ABC,3,5,7,Pure CHIP (No 4)
358.com,ABC,3,5,8,High-Tier CHIP
359.com,ABC,3,5,9,Pure CHIP (No 4)
360.com,ABC,3,6,0,High-Tier CHIP
361.com,ABC,3,6,1,High-Tier CHIP
362.com,ABC,3,6,2,High-Tier CHIP
363.com,ABA,3,6,3,High-Tier CHIP
365.com,ABC,3,6,5,High-Tier CHIP
366.com,ABB,3,6,6,High-Tier CHIP
367.com,ABC,3,6,7,High-Tier CHIP
368.com,ABC,3,6,8,High-Tier CHIP
369.com,ABC,3,6,9,High-Tier CHIP
370.com,ABC,3,7,0,Pure CHIP (No 4)
371.com,ABC,3,7,1,Pure CHIP (No 4)
372.com,ABC,3,7,2,Pure CHIP (No 4)
373.com,ABA,3,7,3,Pure CHIP (No 4)
375.com,ABC,3,7,5,Pure CHIP (No 4)
376.com,ABC,3,7,6,High-Tier CHIP
377.com,ABB,3,7,7,Pure CHIP (No 4)
378.com,ABC,3,7,8,High-Tier CHIP
379.com,ABC,3,7,9,Pure CHIP (No 4)
380.com,ABC,3,8,0,High-Tier CHIP
381.com,ABC,3,8,1,High-Tier CHIP
382.com,ABC,3,8,2,High-Tier CHIP
383.com,ABA,3,8,3,High-Tier CHIP
385.com,ABC,3,8,5,High-Tier CHIP
386.com,ABC,3,8,6,High-Tier CHIP
387.com,ABC,3,8,7,High-Tier CHIP
388.com,ABB,3,8,8,High-Tier CHIP
389.com,ABC,3,8,9,High-Tier CHIP
390.com,ABC,3,9,0,Pure CHIP (No 4)
391.com,ABC,3,9,1,Pure CHIP (No 4)
392.com,ABC,3,9,2,Pure CHIP (No 4)
393.com,ABA,3,9,3,Pure CHIP (No 4)
395.com,ABC,3,9,5,Pure CHIP (No 4)
396.com,ABC,3,9,6,High-Tier CHIP
397.com,ABC,3,9,7,Pure CHIP (No 4)
398.com,ABC,3,9,8,High-Tier CHIP
399.com,ABB,3,9,9,Pure CHIP (No 4)
500.com,ABB,5,0,0,Pure CHIP (No 4)
501.com,ABC,5,0,1,Pure CHIP (No 4)
502.com,ABC,5,0,2,Pure CHIP (No 4)
503.com,ABC,5,0,3,Pure CHIP (No 4)
505.com,ABA,5,0,5,Pure CHIP (No 4)
506.com,ABC,5,0,6,High-Tier CHIP
507.com,ABC,5,0,7,Pure CHIP (No 4)
508.com,ABC,5,0,8,High-Tier CHIP
509.com,ABC,5,0,9,Pure CHIP (No 4)
510.com,ABC,5,1,0,Pure CHIP (No 4)
511.com,ABB,5,1,1,Pure CHIP (No 4)
512.com,ABC,5,1,2,Pure CHIP (No 4)
513.com,ABC,5,1,3,Pure CHIP (No 4)
515.com,ABA,5,1,5,Pure CHIP (No 4)
516.com,ABC,5,1,6,High-Tier CHIP
517.com,ABC,5,1,7,Pure CHIP (No 4)
518.com,ABC,5,1,8,High-Tier CHIP
519.com,ABC,5,1,9,Pure CHIP (No 4)
520.com,ABC,5,2,0,Pure CHIP (No 4)
521.com,ABC,5,2,1,Pure CHIP (No 4)
522.com,ABB,5,2,2,Pure CHIP (No 4)
523.com,ABC,5,2,3,Pure CHIP (No 4)
525.com,ABA,5,2,5,Pure CHIP (No 4)
526.com,ABC,5,2,6,High-Tier CHIP
527.com,ABC,5,2,7,Pure CHIP (No 4)
528.com,ABC,5,2,8,High-Tier CHIP
529.com,ABC,5,2,9,Pure CHIP (No 4)
530.com,ABC,5,3,0,Pure CHIP (No 4)
531.com,ABC,5,3,1,Pure CHIP (No 4)
532.com,ABC,5,3,2,Pure CHIP (No 4)
533.com,ABB,5,3,3,Pure CHIP (No 4)
535.com,ABA,5,3,5,Pure CHIP (No 4)
536.com,ABC,5,3,6,High-Tier CHIP
537.com,ABC,5,3,7,Pure CHIP (No 4)
538.com,ABC,5,3,8,High-Tier CHIP
539.com,ABC,5,3,9,Pure CHIP (No 4)
550.com,AAB,5,5,0,Pure CHIP (No 4)
551.com,AAB,5,5,1,Pure CHIP (No 4)
