ï»¿Domain,Category,Pattern,Significance
0000.me,Solid (AAAA),AAAA,
1111.me,Solid (AAAA),AAAA,
2222.me,Solid (AAAA),AAAA,
3333.me,Solid (AAAA),AAAA,
4444.me,Solid (AAAA),AAAA,
5555.me,Solid (AAAA),AAAA,
6666.me,Solid (AAAA),AAAA,
7777.me,Solid (AAAA),AAAA,
8888.me,Solid (AAAA),AAAA,
9999.me,Solid (AAAA),AAAA,
0123.me,Sequential,1234/4321,
1234.me,Sequential,1234/4321,
2345.me,Sequential,1234/4321,
3456.me,Sequential,1234/4321,
4567.me,Sequential,1234/4321,
5678.me,Sequential,1234/4321,
6789.me,Sequential,1234/4321,
7890.me,Sequential,1234/4321,
3210.me,Sequential,1234/4321,
4321.me,Sequential,1234/4321,
5432.me,Sequential,1234/4321,
6543.me,Sequential,1234/4321,
7654.me,Sequential,1234/4321,
8765.me,Sequential,1234/4321,
9876.me,Sequential,1234/4321,
0987.me,Sequential,1234/4321,
0101.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
0202.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
0303.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
0404.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
0505.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
0606.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
0707.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
0808.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
0909.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
1010.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
1212.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
1313.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
1414.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
1515.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
1616.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
1717.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
1818.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
1919.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
2020.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
2121.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
2323.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
2424.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
2525.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
2626.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
2727.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
2828.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
2929.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
3030.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
3131.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
3232.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
3434.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
3535.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
3636.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
3737.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
3838.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
3939.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
4040.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
4141.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
4242.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
4343.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
4545.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
4646.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
4747.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
4848.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
4949.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
5050.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
5151.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
5252.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
5353.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
5454.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
5656.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
5757.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
5858.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
5959.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
6060.me,Repeating Pairs (ABAB),ABAB,VIP Lucky Pattern
6161.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
6262.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
6363.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
6464.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
6565.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
6767.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
6868.me,Repeating Pairs (ABAB),ABAB,VIP Lucky Pattern
6969.me,Repeating Pairs (ABAB),ABAB,VIP Lucky Pattern
7070.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
7171.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
7272.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
7373.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
7474.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
7575.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
7676.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
7878.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
7979.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
8080.me,Repeating Pairs (ABAB),ABAB,VIP Lucky Pattern
8181.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
8282.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
8383.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
8484.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
8585.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
8686.me,Repeating Pairs (ABAB),ABAB,VIP Lucky Pattern
8787.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
8989.me,Repeating Pairs (ABAB),ABAB,VIP Lucky Pattern
9090.me,Repeating Pairs (ABAB),ABAB,VIP Lucky Pattern
9191.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
9292.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
9393.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
9494.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
9595.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
9696.me,Repeating Pairs (ABAB),ABAB,VIP Lucky Pattern
9797.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
9898.me,Repeating Pairs (ABAB),ABAB,VIP Lucky Pattern