Domain,Pattern,Prefix (Letter)
00000.com,NNNNN,0
00001.com,NNNNN,0
00002.com,NNNNN,0
00003.com,NNNNN,0
00004.com,NNNNN,0
00005.com,NNNNN,0
00006.com,NNNNN,0
00007.com,NNNNN,0
00008.com,NNNNN,0
00009.com,NNNNN,0
00010.com,NNNNN,0
00011.com,NNNNN,0
00012.com,NNNNN,0
00013.com,NNNNN,0
00014.com,NNNNN,0
00015.com,NNNNN,0
00016.com,NNNNN,0
00017.com,NNNNN,0
00018.com,NNNNN,0
00019.com,NNNNN,0
00020.com,NNNNN,0
00021.com,NNNNN,0
00022.com,NNNNN,0
00023.com,NNNNN,0
00024.com,NNNNN,0
00025.com,NNNNN,0
00026.com,NNNNN,0
00027.com,NNNNN,0
00028.com,NNNNN,0
00029.com,NNNNN,0
00030.com,NNNNN,0
00031.com,NNNNN,0
00032.com,NNNNN,0
00033.com,NNNNN,0
00034.com,NNNNN,0
00035.com,NNNNN,0
00036.com,NNNNN,0
00037.com,NNNNN,0
00038.com,NNNNN,0
00039.com,NNNNN,0
00040.com,NNNNN,0
00041.com,NNNNN,0
00042.com,NNNNN,0
00043.com,NNNNN,0
00044.com,NNNNN,0
00045.com,NNNNN,0
00046.com,NNNNN,0
00047.com,NNNNN,0
00048.com,NNNNN,0
00049.com,NNNNN,0
00050.com,NNNNN,0
00051.com,NNNNN,0
00052.com,NNNNN,0
00053.com,NNNNN,0
00054.com,NNNNN,0
00055.com,NNNNN,0
00056.com,NNNNN,0
00057.com,NNNNN,0
00058.com,NNNNN,0
00059.com,NNNNN,0
00060.com,NNNNN,0
00061.com,NNNNN,0
00062.com,NNNNN,0
00063.com,NNNNN,0
00064.com,NNNNN,0
00065.com,NNNNN,0
00066.com,NNNNN,0
00067.com,NNNNN,0
00068.com,NNNNN,0
00069.com,NNNNN,0
00070.com,NNNNN,0
00071.com,NNNNN,0
00072.com,NNNNN,0
00073.com,NNNNN,0
00074.com,NNNNN,0
00075.com,NNNNN,0
00076.com,NNNNN,0
00077.com,NNNNN,0
00078.com,NNNNN,0
00079.com,NNNNN,0
00080.com,NNNNN,0
00081.com,NNNNN,0
00082.com,NNNNN,0
00083.com,NNNNN,0
00084.com,NNNNN,0
00085.com,NNNNN,0
00086.com,NNNNN,0
00087.com,NNNNN,0
00088.com,NNNNN,0
00089.com,NNNNN,0
00090.com,NNNNN,0
00091.com,NNNNN,0
00092.com,NNNNN,0
00093.com,NNNNN,0
00094.com,NNNNN,0
00095.com,NNNNN,0
00096.com,NNNNN,0
00097.com,NNNNN,0
00098.com,NNNNN,0
00099.com,NNNNN,0
00100.com,NNNNN,0
00101.com,NNNNN,0
00102.com,NNNNN,0
00103.com,NNNNN,0
00104.com,NNNNN,0
00105.com,NNNNN,0
00106.com,NNNNN,0
00107.com,NNNNN,0
00108.com,NNNNN,0
00109.com,NNNNN,0
00110.com,NNNNN,0
00111.com,NNNNN,0
00112.com,NNNNN,0
00113.com,NNNNN,0
00114.com,NNNNN,0
00115.com,NNNNN,0
00116.com,NNNNN,0
00117.com,NNNNN,0
00118.com,NNNNN,0
00119.com,NNNNN,0
00120.com,NNNNN,0
00121.com,NNNNN,0
00122.com,NNNNN,0
00123.com,NNNNN,0
00124.com,NNNNN,0
00125.com,NNNNN,0
00126.com,NNNNN,0
00127.com,NNNNN,0
00128.com,NNNNN,0
00129.com,NNNNN,0
00130.com,NNNNN,0
00131.com,NNNNN,0
00132.com,NNNNN,0
00133.com,NNNNN,0
00134.com,NNNNN,0
00135.com,NNNNN,0
00136.com,NNNNN,0
00137.com,NNNNN,0
00138.com,NNNNN,0
00139.com,NNNNN,0
00140.com,NNNNN,0
00141.com,NNNNN,0
00142.com,NNNNN,0
00143.com,NNNNN,0
00144.com,NNNNN,0
00145.com,NNNNN,0
00146.com,NNNNN,0
00147.com,NNNNN,0
00148.com,NNNNN,0
00149.com,NNNNN,0
00150.com,NNNNN,0
00151.com,NNNNN,0
00152.com,NNNNN,0
00153.com,NNNNN,0
00154.com,NNNNN,0
00155.com,NNNNN,0
00156.com,NNNNN,0
00157.com,NNNNN,0
00158.com,NNNNN,0
00159.com,NNNNN,0
00160.com,NNNNN,0
00161.com,NNNNN,0
00162.com,NNNNN,0
00163.com,NNNNN,0
00164.com,NNNNN,0
00165.com,NNNNN,0
00166.com,NNNNN,0
00167.com,NNNNN,0
00168.com,NNNNN,0
00169.com,NNNNN,0
00170.com,NNNNN,0
00171.com,NNNNN,0
00172.com,NNNNN,0
00173.com,NNNNN,0
00174.com,NNNNN,0
00175.com,NNNNN,0
00176.com,NNNNN,0
00177.com,NNNNN,0
00178.com,NNNNN,0
00179.com,NNNNN,0
00180.com,NNNNN,0
00181.com,NNNNN,0
00182.com,NNNNN,0
00183.com,NNNNN,0
00184.com,NNNNN,0
00185.com,NNNNN,0
00186.com,NNNNN,0
00187.com,NNNNN,0
00188.com,NNNNN,0
00189.com,NNNNN,0
00190.com,NNNNN,0
00191.com,NNNNN,0
00192.com,NNNNN,0
00193.com,NNNNN,0
00194.com,NNNNN,0
00195.com,NNNNN,0
00196.com,NNNNN,0
00197.com,NNNNN,0
00198.com,NNNNN,0
00199.com,NNNNN,0
00200.com,NNNNN,0
00201.com,NNNNN,0
00202.com,NNNNN,0
00203.com,NNNNN,0
00204.com,NNNNN,0
00205.com,NNNNN,0
00206.com,NNNNN,0
00207.com,NNNNN,0
00208.com,NNNNN,0
00209.com,NNNNN,0
00210.com,NNNNN,0
00211.com,NNNNN,0
00212.com,NNNNN,0
00213.com,NNNNN,0
00214.com,NNNNN,0
00215.com,NNNNN,0
00216.com,NNNNN,0
00217.com,NNNNN,0
00218.com,NNNNN,0
00219.com,NNNNN,0
00220.com,NNNNN,0
00221.com,NNNNN,0
00222.com,NNNNN,0
00223.com,NNNNN,0
00224.com,NNNNN,0
00225.com,NNNNN,0
00226.com,NNNNN,0
00227.com,NNNNN,0
00228.com,NNNNN,0
00229.com,NNNNN,0
00230.com,NNNNN,0
00231.com,NNNNN,0
00232.com,NNNNN,0
00233.com,NNNNN,0
00234.com,NNNNN,0
00235.com,NNNNN,0
00236.com,NNNNN,0
00237.com,NNNNN,0
00238.com,NNNNN,0
00239.com,NNNNN,0
00240.com,NNNNN,0
00241.com,NNNNN,0
00242.com,NNNNN,0
00243.com,NNNNN,0
00244.com,NNNNN,0
00245.com,NNNNN,0
00246.com,NNNNN,0
00247.com,NNNNN,0
00248.com,NNNNN,0
00249.com,NNNNN,0
00250.com,NNNNN,0
00251.com,NNNNN,0
00252.com,NNNNN,0
00253.com,NNNNN,0
00254.com,NNNNN,0
00255.com,NNNNN,0
00256.com,NNNNN,0
00257.com,NNNNN,0
00258.com,NNNNN,0
00259.com,NNNNN,0
00260.com,NNNNN,0
00261.com,NNNNN,0
00262.com,NNNNN,0
00263.com,NNNNN,0
00264.com,NNNNN,0
00265.com,NNNNN,0
00266.com,NNNNN,0
00267.com,NNNNN,0
00268.com,NNNNN,0
00269.com,NNNNN,0
00270.com,NNNNN,0
00271.com,NNNNN,0
00272.com,NNNNN,0
00273.com,NNNNN,0
00274.com,NNNNN,0
00275.com,NNNNN,0
00276.com,NNNNN,0
00277.com,NNNNN,0
00278.com,NNNNN,0
00279.com,NNNNN,0
00280.com,NNNNN,0
00281.com,NNNNN,0
00282.com,NNNNN,0
00283.com,NNNNN,0
00284.com,NNNNN,0
00285.com,NNNNN,0
00286.com,NNNNN,0
00287.com,NNNNN,0
00288.com,NNNNN,0
00289.com,NNNNN,0
00290.com,NNNNN,0
00291.com,NNNNN,0
00292.com,NNNNN,0
00293.com,NNNNN,0
00294.com,NNNNN,0
00295.com,NNNNN,0
00296.com,NNNNN,0
00297.com,NNNNN,0
00298.com,NNNNN,0
00299.com,NNNNN,0
00300.com,NNNNN,0
00301.com,NNNNN,0
00302.com,NNNNN,0
00303.com,NNNNN,0
00304.com,NNNNN,0
00305.com,NNNNN,0
00306.com,NNNNN,0
00307.com,NNNNN,0
00308.com,NNNNN,0
00309.com,NNNNN,0
00310.com,NNNNN,0
00311.com,NNNNN,0
00312.com,NNNNN,0
00313.com,NNNNN,0
00314.com,NNNNN,0
00315.com,NNNNN,0
00316.com,NNNNN,0
00317.com,NNNNN,0
00318.com,NNNNN,0
00319.com,NNNNN,0
00320.com,NNNNN,0
00321.com,NNNNN,0
00322.com,NNNNN,0
00323.com,NNNNN,0
00324.com,NNNNN,0
00325.com,NNNNN,0
00326.com,NNNNN,0
00327.com,NNNNN,0
00328.com,NNNNN,0
00329.com,NNNNN,0
00330.com,NNNNN,0
00331.com,NNNNN,0
00332.com,NNNNN,0
00333.com,NNNNN,0
00334.com,NNNNN,0
00335.com,NNNNN,0
00336.com,NNNNN,0
00337.com,NNNNN,0
00338.com,NNNNN,0
00339.com,NNNNN,0
00340.com,NNNNN,0
00341.com,NNNNN,0
00342.com,NNNNN,0
00343.com,NNNNN,0
00344.com,NNNNN,0
00345.com,NNNNN,0
00346.com,NNNNN,0
00347.com,NNNNN,0
00348.com,NNNNN,0
00349.com,NNNNN,0
00350.com,NNNNN,0
00351.com,NNNNN,0
00352.com,NNNNN,0
00353.com,NNNNN,0
00354.com,NNNNN,0
00355.com,NNNNN,0
00356.com,NNNNN,0
00357.com,NNNNN,0
00358.com,NNNNN,0
00359.com,NNNNN,0
00360.com,NNNNN,0
00361.com,NNNNN,0
00362.com,NNNNN,0
00363.com,NNNNN,0
00364.com,NNNNN,0
00365.com,NNNNN,0
00366.com,NNNNN,0
00367.com,NNNNN,0
00368.com,NNNNN,0
00369.com,NNNNN,0
00370.com,NNNNN,0
00371.com,NNNNN,0
00372.com,NNNNN,0
00373.com,NNNNN,0
00374.com,NNNNN,0
00375.com,NNNNN,0
00376.com,NNNNN,0
00377.com,NNNNN,0
00378.com,NNNNN,0
00379.com,NNNNN,0
00380.com,NNNNN,0
00381.com,NNNNN,0
00382.com,NNNNN,0
00383.com,NNNNN,0
00384.com,NNNNN,0
00385.com,NNNNN,0
00386.com,NNNNN,0
00387.com,NNNNN,0
00388.com,NNNNN,0
00389.com,NNNNN,0
00390.com,NNNNN,0
00391.com,NNNNN,0
00392.com,NNNNN,0
00393.com,NNNNN,0
00394.com,NNNNN,0
00395.com,NNNNN,0
00396.com,NNNNN,0
00397.com,NNNNN,0
00398.com,NNNNN,0
00399.com,NNNNN,0
00400.com,NNNNN,0
00401.com,NNNNN,0
00402.com,NNNNN,0
00403.com,NNNNN,0
00404.com,NNNNN,0
00405.com,NNNNN,0
00406.com,NNNNN,0
00407.com,NNNNN,0
00408.com,NNNNN,0
00409.com,NNNNN,0
00410.com,NNNNN,0
00411.com,NNNNN,0
00412.com,NNNNN,0
00413.com,NNNNN,0
00414.com,NNNNN,0
00415.com,NNNNN,0
00416.com,NNNNN,0
00417.com,NNNNN,0
00418.com,NNNNN,0
00419.com,NNNNN,0
00420.com,NNNNN,0
00421.com,NNNNN,0
00422.com,NNNNN,0
00423.com,NNNNN,0
00424.com,NNNNN,0
00425.com,NNNNN,0
00426.com,NNNNN,0
00427.com,NNNNN,0
00428.com,NNNNN,0
00429.com,NNNNN,0
00430.com,NNNNN,0
00431.com,NNNNN,0
00432.com,NNNNN,0
00433.com,NNNNN,0
00434.com,NNNNN,0
00435.com,NNNNN,0
00436.com,NNNNN,0
00437.com,NNNNN,0
00438.com,NNNNN,0
00439.com,NNNNN,0
00440.com,NNNNN,0
00441.com,NNNNN,0
00442.com,NNNNN,0
00443.com,NNNNN,0
00444.com,NNNNN,0
00445.com,NNNNN,0
00446.com,NNNNN,0
00447.com,NNNNN,0
00448.com,NNNNN,0
00449.com,NNNNN,0
00450.com,NNNNN,0
00451.com,NNNNN,0
00452.com,NNNNN,0
00453.com,NNNNN,0
00454.com,NNNNN,0
00455.com,NNNNN,0
00456.com,NNNNN,0
00457.com,NNNNN,0
00458.com,NNNNN,0
00459.com,NNNNN,0
00460.com,NNNNN,0
00461.com,NNNNN,0
00462.com,NNNNN,0
00463.com,NNNNN,0
00464.com,NNNNN,0
00465.com,NNNNN,0
00466.com,NNNNN,0
00467.com,NNNNN,0
00468.com,NNNNN,0
00469.com,NNNNN,0
00470.com,NNNNN,0
00471.com,NNNNN,0
00472.com,NNNNN,0
00473.com,NNNNN,0
00474.com,NNNNN,0
00475.com,NNNNN,0
00476.com,NNNNN,0
00477.com,NNNNN,0
00478.com,NNNNN,0
00479.com,NNNNN,0
00480.com,NNNNN,0
00481.com,NNNNN,0
00482.com,NNNNN,0
00483.com,NNNNN,0
00484.com,NNNNN,0
00485.com,NNNNN,0
00486.com,NNNNN,0
00487.com,NNNNN,0
00488.com,NNNNN,0
00489.com,NNNNN,0
00490.com,NNNNN,0
00491.com,NNNNN,0
00492.com,NNNNN,0
00493.com,NNNNN,0
00494.com,NNNNN,0
00495.com,NNNNN,0
00496.com,NNNNN,0
00497.com,NNNNN,0
00498.com,NNNNN,0
00499.com,NNNNN,0
00500.com,NNNNN,0
00501.com,NNNNN,0
00502.com,NNNNN,0
00503.com,NNNNN,0
00504.com,NNNNN,0
00505.com,NNNNN,0
00506.com,NNNNN,0
00507.com,NNNNN,0
00508.com,NNNNN,0
00509.com,NNNNN,0
00510.com,NNNNN,0
00511.com,NNNNN,0
00512.com,NNNNN,0
00513.com,NNNNN,0
00514.com,NNNNN,0
00515.com,NNNNN,0
00516.com,NNNNN,0
00517.com,NNNNN,0
00518.com,NNNNN,0
00519.com,NNNNN,0
00520.com,NNNNN,0
00521.com,NNNNN,0
00522.com,NNNNN,0
00523.com,NNNNN,0
00524.com,NNNNN,0
00525.com,NNNNN,0
00526.com,NNNNN,0
00527.com,NNNNN,0
00528.com,NNNNN,0
00529.com,NNNNN,0
00530.com,NNNNN,0
00531.com,NNNNN,0
00532.com,NNNNN,0
00533.com,NNNNN,0
00534.com,NNNNN,0
00535.com,NNNNN,0
00536.com,NNNNN,0
00537.com,NNNNN,0
00538.com,NNNNN,0
00539.com,NNNNN,0
00540.com,NNNNN,0
00541.com,NNNNN,0
00542.com,NNNNN,0
00543.com,NNNNN,0
00544.com,NNNNN,0
00545.com,NNNNN,0
00546.com,NNNNN,0
00547.com,NNNNN,0
00548.com,NNNNN,0
00549.com,NNNNN,0
00550.com,NNNNN,0
00551.com,NNNNN,0
00552.com,NNNNN,0
00553.com,NNNNN,0
00554.com,NNNNN,0
00555.com,NNNNN,0
00556.com,NNNNN,0
00557.com,NNNNN,0
00558.com,NNNNN,0
00559.com,NNNNN,0
00560.com,NNNNN,0
00561.com,NNNNN,0
00562.com,NNNNN,0
00563.com,NNNNN,0
00564.com,NNNNN,0
00565.com,NNNNN,0
00566.com,NNNNN,0
00567.com,NNNNN,0
00568.com,NNNNN,0
00569.com,NNNNN,0
00570.com,NNNNN,0
00571.com,NNNNN,0
00572.com,NNNNN,0
00573.com,NNNNN,0
00574.com,NNNNN,0
00575.com,NNNNN,0
00576.com,NNNNN,0
00577.com,NNNNN,0
00578.com,NNNNN,0
00579.com,NNNNN,0
00580.com,NNNNN,0
00581.com,NNNNN,0
00582.com,NNNNN,0
00583.com,NNNNN,0
00584.com,NNNNN,0
00585.com,NNNNN,0
00586.com,NNNNN,0
00587.com,NNNNN,0
00588.com,NNNNN,0
00589.com,NNNNN,0
00590.com,NNNNN,0
00591.com,NNNNN,0
00592.com,NNNNN,0
00593.com,NNNNN,0
00594.com,NNNNN,0
00595.com,NNNNN,0
00596.com,NNNNN,0
00597.com,NNNNN,0
00598.com,NNNNN,0
00599.com,NNNNN,0
00600.com,NNNNN,0
00601.com,NNNNN,0
00602.com,NNNNN,0
00603.com,NNNNN,0
00604.com,NNNNN,0
00605.com,NNNNN,0
00606.com,NNNNN,0
00607.com,NNNNN,0
00608.com,NNNNN,0
00609.com,NNNNN,0
00610.com,NNNNN,0
00611.com,NNNNN,0
00612.com,NNNNN,0
00613.com,NNNNN,0
00614.com,NNNNN,0
00615.com,NNNNN,0
00616.com,NNNNN,0
00617.com,NNNNN,0
00618.com,NNNNN,0
00619.com,NNNNN,0
00620.com,NNNNN,0
00621.com,NNNNN,0
00622.com,NNNNN,0
00623.com,NNNNN,0
00624.com,NNNNN,0
00625.com,NNNNN,0
00626.com,NNNNN,0
00627.com,NNNNN,0
00628.com,NNNNN,0
00629.com,NNNNN,0
00630.com,NNNNN,0
00631.com,NNNNN,0
00632.com,NNNNN,0
00633.com,NNNNN,0
00634.com,NNNNN,0
00635.com,NNNNN,0
00636.com,NNNNN,0
00637.com,NNNNN,0
00638.com,NNNNN,0
00639.com,NNNNN,0
00640.com,NNNNN,0
00641.com,NNNNN,0
00642.com,NNNNN,0
00643.com,NNNNN,0
00644.com,NNNNN,0
00645.com,NNNNN,0
00646.com,NNNNN,0
00647.com,NNNNN,0
00648.com,NNNNN,0
00649.com,NNNNN,0
00650.com,NNNNN,0
00651.com,NNNNN,0
00652.com,NNNNN,0
00653.com,NNNNN,0
00654.com,NNNNN,0
00655.com,NNNNN,0
00656.com,NNNNN,0
00657.com,NNNNN,0
00658.com,NNNNN,0
00659.com,NNNNN,0
00660.com,NNNNN,0
00661.com,NNNNN,0
00662.com,NNNNN,0
00663.com,NNNNN,0
00664.com,NNNNN,0
00665.com,NNNNN,0
00666.com,NNNNN,0
00667.com,NNNNN,0
00668.com,NNNNN,0
00669.com,NNNNN,0
00670.com,NNNNN,0
00671.com,NNNNN,0
00672.com,NNNNN,0
00673.com,NNNNN,0
00674.com,NNNNN,0
00675.com,NNNNN,0
00676.com,NNNNN,0
00677.com,NNNNN,0
00678.com,NNNNN,0
00679.com,NNNNN,0
00680.com,NNNNN,0
00681.com,NNNNN,0
00682.com,NNNNN,0
00683.com,NNNNN,0
00684.com,NNNNN,0
00685.com,NNNNN,0
00686.com,NNNNN,0
00687.com,NNNNN,0
00688.com,NNNNN,0
00689.com,NNNNN,0
00690.com,NNNNN,0
00691.com,NNNNN,0
00692.com,NNNNN,0
00693.com,NNNNN,0
00694.com,NNNNN,0
00695.com,NNNNN,0
00696.com,NNNNN,0
00697.com,NNNNN,0
00698.com,NNNNN,0
00699.com,NNNNN,0
00700.com,NNNNN,0
00701.com,NNNNN,0
00702.com,NNNNN,0
00703.com,NNNNN,0
00704.com,NNNNN,0
00705.com,NNNNN,0
00706.com,NNNNN,0
00707.com,NNNNN,0
00708.com,NNNNN,0
00709.com,NNNNN,0
00710.com,NNNNN,0
00711.com,NNNNN,0
00712.com,NNNNN,0
00713.com,NNNNN,0
00714.com,NNNNN,0
00715.com,NNNNN,0
00716.com,NNNNN,0
00717.com,NNNNN,0
00718.com,NNNNN,0
00719.com,NNNNN,0
00720.com,NNNNN,0
00721.com,NNNNN,0
00722.com,NNNNN,0
00723.com,NNNNN,0
00724.com,NNNNN,0
00725.com,NNNNN,0
00726.com,NNNNN,0
00727.com,NNNNN,0
00728.com,NNNNN,0
00729.com,NNNNN,0
00730.com,NNNNN,0
00731.com,NNNNN,0
00732.com,NNNNN,0
00733.com,NNNNN,0
00734.com,NNNNN,0
00735.com,NNNNN,0
00736.com,NNNNN,0
00737.com,NNNNN,0
00738.com,NNNNN,0
00739.com,NNNNN,0
00740.com,NNNNN,0
00741.com,NNNNN,0
00742.com,NNNNN,0
00743.com,NNNNN,0
00744.com,NNNNN,0
00745.com,NNNNN,0
00746.com,NNNNN,0
00747.com,NNNNN,0
00748.com,NNNNN,0
00749.com,NNNNN,0
00750.com,NNNNN,0
00751.com,NNNNN,0
00752.com,NNNNN,0
00753.com,NNNNN,0
00754.com,NNNNN,0
00755.com,NNNNN,0
00756.com,NNNNN,0
00757.com,NNNNN,0
00758.com,NNNNN,0
00759.com,NNNNN,0
00760.com,NNNNN,0
00761.com,NNNNN,0
00762.com,NNNNN,0
00763.com,NNNNN,0
00764.com,NNNNN,0
00765.com,NNNNN,0
00766.com,NNNNN,0
00767.com,NNNNN,0
00768.com,NNNNN,0
00769.com,NNNNN,0
00770.com,NNNNN,0
00771.com,NNNNN,0
00772.com,NNNNN,0
00773.com,NNNNN,0
00774.com,NNNNN,0
00775.com,NNNNN,0
00776.com,NNNNN,0
00777.com,NNNNN,0
00778.com,NNNNN,0
00779.com,NNNNN,0
00780.com,NNNNN,0
00781.com,NNNNN,0
00782.com,NNNNN,0
00783.com,NNNNN,0
00784.com,NNNNN,0
00785.com,NNNNN,0
00786.com,NNNNN,0
00787.com,NNNNN,0
00788.com,NNNNN,0
00789.com,NNNNN,0
00790.com,NNNNN,0
00791.com,NNNNN,0
00792.com,NNNNN,0
00793.com,NNNNN,0
00794.com,NNNNN,0
00795.com,NNNNN,0
00796.com,NNNNN,0
00797.com,NNNNN,0
00798.com,NNNNN,0
00799.com,NNNNN,0
00800.com,NNNNN,0
00801.com,NNNNN,0
00802.com,NNNNN,0
00803.com,NNNNN,0
00804.com,NNNNN,0
00805.com,NNNNN,0
00806.com,NNNNN,0
00807.com,NNNNN,0
00808.com,NNNNN,0
00809.com,NNNNN,0
00810.com,NNNNN,0
00811.com,NNNNN,0
00812.com,NNNNN,0
00813.com,NNNNN,0
00814.com,NNNNN,0
00815.com,NNNNN,0
00816.com,NNNNN,0
00817.com,NNNNN,0
00818.com,NNNNN,0
00819.com,NNNNN,0
00820.com,NNNNN,0
00821.com,NNNNN,0
00822.com,NNNNN,0
00823.com,NNNNN,0
00824.com,NNNNN,0
00825.com,NNNNN,0
00826.com,NNNNN,0
00827.com,NNNNN,0
00828.com,NNNNN,0
00829.com,NNNNN,0
00830.com,NNNNN,0
00831.com,NNNNN,0
00832.com,NNNNN,0
00833.com,NNNNN,0
00834.com,NNNNN,0
00835.com,NNNNN,0
00836.com,NNNNN,0
00837.com,NNNNN,0
00838.com,NNNNN,0
00839.com,NNNNN,0
00840.com,NNNNN,0
00841.com,NNNNN,0
00842.com,NNNNN,0
00843.com,NNNNN,0
00844.com,NNNNN,0
00845.com,NNNNN,0
00846.com,NNNNN,0
00847.com,NNNNN,0
00848.com,NNNNN,0
00849.com,NNNNN,0
00850.com,NNNNN,0
00851.com,NNNNN,0
00852.com,NNNNN,0
00853.com,NNNNN,0
00854.com,NNNNN,0
00855.com,NNNNN,0
00856.com,NNNNN,0
00857.com,NNNNN,0
00858.com,NNNNN,0
00859.com,NNNNN,0
00860.com,NNNNN,0
00861.com,NNNNN,0
00862.com,NNNNN,0
00863.com,NNNNN,0
00864.com,NNNNN,0
00865.com,NNNNN,0
00866.com,NNNNN,0
00867.com,NNNNN,0
00868.com,NNNNN,0
00869.com,NNNNN,0
00870.com,NNNNN,0
00871.com,NNNNN,0
00872.com,NNNNN,0
00873.com,NNNNN,0
00874.com,NNNNN,0
00875.com,NNNNN,0
00876.com,NNNNN,0
00877.com,NNNNN,0
00878.com,NNNNN,0
00879.com,NNNNN,0
00880.com,NNNNN,0
00881.com,NNNNN,0
00882.com,NNNNN,0
00883.com,NNNNN,0
00884.com,NNNNN,0
00885.com,NNNNN,0
00886.com,NNNNN,0
00887.com,NNNNN,0
00888.com,NNNNN,0
00889.com,NNNNN,0
00890.com,NNNNN,0
00891.com,NNNNN,0
00892.com,NNNNN,0
00893.com,NNNNN,0
00894.com,NNNNN,0
00895.com,NNNNN,0
00896.com,NNNNN,0
00897.com,NNNNN,0
00898.com,NNNNN,0
00899.com,NNNNN,0
00900.com,NNNNN,0
00901.com,NNNNN,0
00902.com,NNNNN,0
00903.com,NNNNN,0
00904.com,NNNNN,0
00905.com,NNNNN,0
00906.com,NNNNN,0
00907.com,NNNNN,0
00908.com,NNNNN,0
00909.com,NNNNN,0
00910.com,NNNNN,0
00911.com,NNNNN,0
00912.com,NNNNN,0
00913.com,NNNNN,0
00914.com,NNNNN,0
00915.com,NNNNN,0
00916.com,NNNNN,0
00917.com,NNNNN,0
00918.com,NNNNN,0
00919.com,NNNNN,0
00920.com,NNNNN,0
00921.com,NNNNN,0
00922.com,NNNNN,0
00923.com,NNNNN,0
00924.com,NNNNN,0
00925.com,NNNNN,0
00926.com,NNNNN,0
00927.com,NNNNN,0
00928.com,NNNNN,0
00929.com,NNNNN,0
00930.com,NNNNN,0
00931.com,NNNNN,0
00932.com,NNNNN,0
00933.com,NNNNN,0
00934.com,NNNNN,0
00935.com,NNNNN,0
00936.com,NNNNN,0
00937.com,NNNNN,0
00938.com,NNNNN,0
00939.com,NNNNN,0
00940.com,NNNNN,0
00941.com,NNNNN,0
00942.com,NNNNN,0
00943.com,NNNNN,0
00944.com,NNNNN,0
00945.com,NNNNN,0
00946.com,NNNNN,0
00947.com,NNNNN,0
00948.com,NNNNN,0
00949.com,NNNNN,0
00950.com,NNNNN,0
00951.com,NNNNN,0
00952.com,NNNNN,0
00953.com,NNNNN,0
00954.com,NNNNN,0
00955.com,NNNNN,0
00956.com,NNNNN,0
00957.com,NNNNN,0
00958.com,NNNNN,0
00959.com,NNNNN,0
00960.com,NNNNN,0
00961.com,NNNNN,0
00962.com,NNNNN,0
00963.com,NNNNN,0
00964.com,NNNNN,0
00965.com,NNNNN,0
00966.com,NNNNN,0
00967.com,NNNNN,0
00968.com,NNNNN,0
00969.com,NNNNN,0
00970.com,NNNNN,0
00971.com,NNNNN,0
00972.com,NNNNN,0
00973.com,NNNNN,0
00974.com,NNNNN,0
00975.com,NNNNN,0
00976.com,NNNNN,0
00977.com,NNNNN,0
00978.com,NNNNN,0
00979.com,NNNNN,0
00980.com,NNNNN,0
00981.com,NNNNN,0
00982.com,NNNNN,0
00983.com,NNNNN,0
00984.com,NNNNN,0
00985.com,NNNNN,0
00986.com,NNNNN,0
00987.com,NNNNN,0
00988.com,NNNNN,0
00989.com,NNNNN,0
00990.com,NNNNN,0
00991.com,NNNNN,0
00992.com,NNNNN,0
00993.com,NNNNN,0
00994.com,NNNNN,0
00995.com,NNNNN,0
00996.com,NNNNN,0
00997.com,NNNNN,0
00998.com,NNNNN,0
00999.com,NNNNN,0
