ï»¿Domain,Pattern,Category,Market
8181.me,ABAB,Lucky 8 Series (Wealth),Chinese/Global
8282.me,ABAB,Lucky 8 Series (Wealth),Chinese/Global
8383.me,ABAB,Lucky 8 Series (Wealth),Chinese/Global
8585.me,ABAB,Lucky 8 Series (Wealth),Chinese/Global
8787.me,ABAB,Lucky 8 Series (Wealth),Chinese/Global
6161.me,ABAB,Lucky 6 Series (Success),Chinese/Global
6262.me,ABAB,Lucky 6 Series (Success),Chinese/Global
6363.me,ABAB,Lucky 6 Series (Success),Chinese/Global
6565.me,ABAB,Lucky 6 Series (Success),Chinese/Global
6767.me,ABAB,Lucky 6 Series (Success),Chinese/Global
9191.me,ABAB,Lucky 9 Series (Longevity),Chinese/Global
9292.me,ABAB,Lucky 9 Series (Longevity),Chinese/Global
9393.me,ABAB,Lucky 9 Series (Longevity),Chinese/Global
9595.me,ABAB,Lucky 9 Series (Longevity),Chinese/Global
9797.me,ABAB,Lucky 9 Series (Longevity),Chinese/Global
1010.me,ABAB,Global Acceptance (Tech/Style),Western/Global
1212.me,ABAB,Global Acceptance (Tech/Style),Western/Global
2020.me,ABAB,Global Acceptance (Tech/Style),Western/Global
3030.me,ABAB,Global Acceptance (Tech/Style),Western/Global
5050.me,ABAB,Global Acceptance (Tech/Style),Western/Global